City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
clyde river,20,CA,1584227785,74,70.47,-68.59,-25.59999999999995,3.3555
menzelinsk,100,RU,1584228002,99,55.73,53.1,32.0,8.948
bredasdorp,83,ZA,1584228004,82,-34.53,20.04,66.2,10.2902
tautira,40,PF,1584228011,59,-17.73,-149.15,89.6,3.3555
cabo san lucas,40,MX,1584228013,34,22.89,-109.91,80.6,19.4619
nikolskoye,76,RU,1584227971,45,59.7,30.79,24.8,13.422
tasiilaq,0,GL,1584228017,64,65.61,-37.64,1.3999999999999986,6.9347
lebu,0,CL,1584228019,71,-37.62,-73.65,56.13800000000005,11.27448
srednekolymsk,100,RU,1584227906,91,67.45,153.68,-7.257999999999953,16.084030000000002
jieshi,3,CN,1584228024,66,22.81,115.83,64.99400000000007,1.00665
airai,9,TL,1584228026,54,-8.93,125.41,76.74800000000002,1.70012
gilgit,0,PK,1584228028,48,35.92,74.31,12.308000000000003,4.16082
debre sina,100,ET,1584228030,73,9.85,39.77,70.57400000000001,6.4873
kodiak,1,US,1584228035,59,57.79,-152.41,37.4,3.3555
lorengau,95,PG,1584227822,76,-2.02,147.27,84.05600000000003,11.78899
kloulklubed,75,PW,1584228039,88,7.04,134.26,77.0,10.20072
la fleche,90,FR,1584228041,87,47.7,-0.08,48.2,4.6977
waiuku,2,NZ,1584228045,68,-37.25,174.75,78.00800000000001,5.8162
kargasok,100,RU,1584228047,98,59.06,80.86,33.98000000000004,16.53143
norman wells,90,CA,1584228050,85,65.28,-126.83,17.6,2.237
bemidji,1,US,1584227791,49,47.47,-94.88,30.2,6.9347
kamenka,29,RU,1584228054,92,51.32,42.77,35.99600000000005,4.004230000000001
thompson,20,CA,1584228056,46,55.74,-97.86,8.600000000000001,3.3555
cidreira,0,BR,1584228058,86,-30.18,-50.21,76.208,24.517520000000005
samarai,53,PG,1584228060,56,-10.62,150.67,86.99000000000002,5.167470000000001
east london,56,ZA,1584228063,78,-33.02,27.91,72.68000000000004,9.77569
kaitangata,100,NZ,1584228065,69,-46.28,169.85,62.00600000000003,1.00665
saint-philippe,59,RE,1584227789,78,-21.36,55.77,77.0,5.8162
labuan,75,MY,1584227932,94,5.28,115.24,78.8,12.95223
payo,100,ID,1584228076,97,-3.75,103.64,70.52000000000007,0.58162
jardim,27,BR,1584227877,56,-21.48,-56.14,78.76400000000004,5.74909
port hardy,5,CA,1584228080,32,50.7,-127.42,39.2,13.8694
turukhansk,100,RU,1584227972,97,65.82,87.98,30.29000000000002,11.99032
faya,20,SA,1584228084,82,18.39,42.45,60.8,14.987900000000002
taltal,1,CL,1584228086,92,-25.4,-70.48,60.08000000000004,1.18561
grand gaube,40,MU,1584228088,88,-20.01,57.66,77.0,10.021760000000002
merauke,78,ID,1584227812,69,-8.47,140.33,84.83000000000004,7.270250000000001
qaanaaq,0,GL,1584228093,58,77.48,-69.36,-20.811999999999955,5.74909
gazanjyk,100,TM,1584228095,35,39.24,55.52,62.294000000000075,9.373030000000002
mareeba,55,AU,1584228097,69,-17.0,145.43,82.00400000000005,11.4087
maxixe,0,MZ,1584228099,82,-23.86,35.35,77.63000000000004,6.554410000000001
satuk,60,TR,1584228102,83,41.23,32.38,43.44800000000002,2.25937
mataura,100,NZ,1584228104,74,-46.19,168.86,62.00600000000003,4.004230000000001
cuetzalan,20,MX,1584228106,78,20.03,-97.52,82.4,9.1717
tungor,94,RU,1584228108,88,53.38,142.96,7.970000000000063,3.26602
souillac,40,MU,1584228110,88,-20.52,57.52,77.0,7.538690000000001
ejura,100,GH,1584228112,79,7.39,-1.36,77.32400000000001,5.95042
komsomolskiy,0,UZ,1584228115,70,40.43,71.72,48.2,4.6977
dikson,51,RU,1584228117,99,73.51,80.55,-18.27399999999996,8.41112
nowa deba,0,PL,1584228121,73,50.43,21.75,28.994000000000074,1.1185
rawson,0,AR,1584228123,66,-43.3,-65.1,61.12400000000001,6.95707
new norfolk,40,AU,1584228126,67,-42.78,147.06,62.00600000000003,5.8162
severo-kurilsk,33,RU,1584227833,73,50.68,156.12,20.966000000000008,6.241230000000001
vestmannaeyjar,33,IS,1584228130,66,63.44,-20.27,27.140000000000022,18.00785
korla,100,CN,1584227870,75,41.76,86.15,33.998000000000026,4.004230000000001
naze,75,JP,1584228134,50,28.37,129.48,59.0,11.4087
platonovka,60,RU,1584228136,97,52.71,41.95,34.214000000000034,14.786570000000001
half moon bay,75,US,1584227966,87,37.46,-122.43,53.99600000000005,5.8162
winsum,20,NL,1584228127,70,53.33,6.52,48.2,14.987900000000002
hasaki,20,JP,1584228143,80,35.73,140.83,39.2,6.9347
hualmay,93,PE,1584227845,75,-11.1,-77.61,73.16600000000001,5.480650000000001
daigo,40,JP,1584228147,100,36.77,140.35,42.998000000000026,5.8162
znin,0,PL,1584228149,73,52.85,17.72,30.991999999999997,2.237
ornskoldsvik,41,SE,1584228152,63,63.29,18.72,28.4,10.2902
hambantota,11,LK,1584228043,79,6.12,81.12,78.63800000000005,16.57617
wenling,0,CN,1584228156,94,28.37,121.36,46.99400000000007,5.480650000000001
henties bay,0,NA,1584228158,93,-22.12,14.28,62.00600000000003,4.58585
buraydah,27,SA,1584227970,68,26.33,43.98,64.4,11.4087
hovd,0,MN,1584228073,41,48.01,91.64,18.824000000000012,7.56106
nouadhibou,0,MR,1584228165,77,20.93,-17.03,66.2,19.4619
leshukonskoye,72,RU,1584228167,91,64.9,45.76,7.016000000000009,5.435910000000001
novoorsk,100,RU,1584228169,75,51.38,58.98,44.6,26.844
quang ngai,98,VN,1584228171,83,15.12,108.8,75.41600000000001,8.52297
cockburn town,40,TC,1584228173,65,21.46,-71.14,78.8,11.4087
porto novo,69,BJ,1584228178,76,6.5,2.6,83.26400000000004,8.03083
chuy,67,UY,1584228180,90,-33.7,-53.46,71.708,6.420190000000001
pevek,77,RU,1584228182,69,69.7,170.31,-0.6699999999999591,6.643890000000001
jalu,93,LY,1584228184,36,29.03,21.55,63.05,3.95949
ilinge,74,ZA,1584228189,85,-31.98,27.04,63.608000000000004,3.26602
kandrian,100,PG,1584228184,69,-6.22,149.55,84.74000000000002,10.223090000000001
port lincoln,99,AU,1584228193,68,-34.73,135.87,61.952000000000076,17.60519
arinos,66,BR,1584228195,91,-15.92,-46.11,71.25800000000001,2.39359
lavrentiya,100,RU,1584228198,74,65.58,-171.0,21.36200000000006,9.77569
constitucion,38,CL,1584228202,83,-35.33,-72.42,54.82400000000001,5.70435
sun city west,1,US,1584228206,43,33.66,-112.34,73.99400000000007,5.8162
kavaratti,1,IN,1584228208,72,10.57,72.64,81.87800000000007,10.37968
padang,67,ID,1584228211,92,-0.95,100.35,69.38600000000007,4.65296
harper,79,LR,1584228213,94,4.38,-7.72,77.30600000000003,4.0266
jishu,100,CN,1584228215,93,44.32,126.8,16.01600000000001,14.160210000000001
carnarvon,75,AU,1584228217,78,-24.87,113.63,77.0,6.9347
tiksi,14,RU,1584228219,71,71.69,128.87,-14.58399999999994,6.554410000000001
smithers,5,CA,1584228150,20,54.78,-127.17,23.0,2.237
solnechnyy,9,RU,1584227955,74,50.72,136.63,12.758000000000003,5.167470000000001
chapais,90,CA,1584228226,78,49.78,-74.85,12.2,14.987900000000002
provideniya,78,RU,1584228228,79,64.38,-173.3,23.216000000000008,6.285970000000001
poli,20,TZ,1584228230,94,-3.33,36.8,71.6,2.25937
setaka,75,JP,1584228232,70,33.15,130.47,53.00600000000003,4.6977
abdanan,100,IR,1584228234,97,32.99,47.42,49.04600000000005,5.88331
pierre,90,US,1584227984,80,44.37,-100.35,32.0,18.3434
sakata,75,JP,1584228239,60,38.92,139.85,39.2,5.8162
cherskiy,100,RU,1584228241,91,68.75,161.3,-2.7399999999999665,3.10943
seydi,100,TM,1584228243,38,39.48,62.91,59.27000000000006,14.83131
saint-pierre,43,RE,1584228245,78,-21.34,55.48,77.0,5.8162
san patricio,75,MX,1584228247,74,19.22,-104.7,84.2,9.1717
dali,23,CN,1584228250,79,25.7,100.18,47.12000000000006,2.93047
sept-iles,75,CA,1584228102,68,50.2,-66.38,26.99600000000005,12.750900000000001
albany,1,US,1584228099,59,42.6,-73.97,42.008,10.2902
gat,75,IL,1584228258,93,31.61,34.76,59.0,6.9347
okahandja,66,NA,1584228260,30,-21.98,16.92,71.00600000000003,3.3555
san pedro,40,PH,1584228263,74,14.35,121.02,80.6,3.3555
mwene-ditu,48,CD,1584228265,97,-7.0,23.45,66.75800000000001,2.32648
khatanga,100,RU,1584228267,86,71.97,102.5,26.078000000000067,9.66384
mosquera,75,CO,1584228254,72,4.71,-74.23,62.6,12.750900000000001
bambous virieux,40,MU,1584228271,88,-20.34,57.76,77.0,13.489110000000002
megalopoli,67,GR,1584228273,93,37.4,22.14,57.992,2.237
mount isa,39,AU,1584228276,41,-20.73,139.5,78.8,9.1717
pisco,99,PE,1584228278,30,-13.7,-76.22,75.99199999999999,23.041100000000004
le port,90,RE,1584228280,78,-20.94,55.29,77.0,9.1717
vista hermosa,90,MX,1584228282,29,19.52,-99.22,78.8,17.2249
caraballeda,4,VE,1584228284,79,10.61,-66.85,71.00600000000003,9.1717
paamiut,100,GL,1584228286,70,61.99,-49.67,4.550000000000001,9.03748
batemans bay,0,AU,1584228293,53,-35.72,150.18,62.00600000000003,8.008460000000001
chumikan,0,RU,1584228295,76,54.72,135.31,8.114000000000033,7.807130000000001
lagoa,16,PT,1584228297,81,39.05,-27.98,59.9,10.021760000000002
beringovskiy,49,RU,1584228299,86,63.05,179.32,21.36200000000006,7.18077
marawi,0,PH,1584228302,82,8.0,124.29,75.99199999999999,2.99758
college,90,US,1584228304,67,64.86,-147.8,24.998000000000026,3.51209
kuusamo,29,FI,1584228131,76,65.97,29.18,-11.199999999999946,1.1185
dobson,90,US,1584228308,88,36.4,-80.72,60.8,3.3555
lokosovo,100,RU,1584228310,92,61.13,74.82,33.8,14.13784
kupang,20,ID,1584228312,100,-10.17,123.58,78.8,2.237
bontang,100,ID,1584228315,77,0.13,117.5,80.25800000000001,12.482460000000001
victoria,10,HK,1584228317,55,22.29,114.16,68.0,10.2902
mitzic,13,GA,1584228319,97,0.78,11.55,70.07000000000006,2.77388
iqaluit,20,CA,1584228321,61,63.75,-68.51,-20.001999999999974,12.750900000000001
oksfjord,100,NO,1584228323,73,70.24,22.35,21.991999999999997,42.503
torbay,20,CA,1584228302,80,47.67,-52.73,35.00600000000003,31.0943
ilulissat,98,GL,1584228328,70,69.22,-51.1,1.3999999999999986,8.0532
matay,15,EG,1584228330,76,28.42,30.78,61.43000000000004,3.91475
sheboygan,90,US,1584228332,74,43.73,-87.93,32.0,13.8694
roura,70,GF,1584228334,74,4.73,-52.33,80.6,5.8162
ancud,39,CL,1584228336,71,-41.87,-73.82,55.4,8.0532
nago,20,JP,1584228338,51,26.59,127.98,59.0,10.2902
bereda,9,ES,1584228340,93,43.27,-7.54,48.00200000000008,4.6977
ginda,83,IN,1584228343,78,30.69,78.49,40.40600000000003,4.56348
chabahar,100,IR,1584228345,49,25.29,60.64,69.98000000000005,4.004230000000001
sinnar,39,SD,1584228347,13,13.57,33.57,72.48200000000001,12.88512
sorland,100,NO,1584228124,66,67.67,12.69,40.31600000000001,37.29079000000001
saint-joseph,43,RE,1584228351,78,-21.37,55.62,77.0,5.8162
lagunas,70,PE,1584228354,78,-5.23,-75.68,81.158,1.94619
haines junction,37,CA,1584228356,78,60.75,-137.51,28.4,3.22128
damascus,40,SY,1584228358,93,33.51,36.29,50.0,6.9347
shinpokh,0,PK,1584228360,82,34.33,71.18,55.4,2.72914
la ronge,75,CA,1584228362,55,55.1,-105.28,6.800000000000001,3.3555
sur,100,OM,1584228364,35,22.57,59.53,66.68600000000006,6.688630000000001
tazovskiy,100,RU,1584228367,93,67.47,78.7,5.936000000000071,16.95646
yuzhnyy,75,RU,1584228369,64,53.25,83.69,37.4,20.133000000000003
jumla,86,NP,1584228371,79,29.27,82.18,21.866000000000007,7.04655
faanui,8,PF,1584228373,75,-16.48,-151.75,83.12000000000006,14.47339
gigmoto,86,PH,1584228375,65,13.78,124.39,80.47400000000002,8.008460000000001
carroll,90,US,1584228377,37,39.55,-77.02,55.4,3.3555
bilma,8,NE,1584228380,20,18.69,12.92,61.772000000000034,4.093710000000001
adelaide,15,AU,1584228193,51,-34.93,138.6,64.99400000000007,5.8162
moyale,97,KE,1584228384,58,3.52,39.06,77.108,2.48307
comodoro rivadavia,0,AR,1584228386,48,-45.87,-67.5,62.6,6.9347
geraldton,90,AU,1584228388,88,-28.77,114.6,73.4,10.2902
shelburne,1,CA,1584228391,74,44.08,-80.2,33.998000000000026,6.9347
breves,100,BR,1584228393,98,-1.68,-50.48,74.37200000000004,2.81862
belmonte,20,BR,1584228395,74,-15.86,-38.88,80.6,8.0532
vila do maio,35,CV,1584228397,47,15.13,-23.22,75.2,16.1064
qaqortoq,100,GL,1584228399,67,60.72,-46.03,19.4,4.67533
bowling green,90,US,1584228401,81,36.99,-86.44,46.4,5.8162
noshiro,75,JP,1584228406,100,40.2,140.02,35.6,2.97521
winslow,75,US,1584228250,38,35.02,-110.7,60.8,16.1064
anadyr,40,RU,1584228410,92,64.75,177.48,21.2,31.318
aklavik,90,CA,1584228412,55,68.22,-135.01,33.8,9.1717
luderitz,0,NA,1584228414,64,-26.65,15.16,69.8,9.1717
narsaq,100,GL,1584228416,67,60.92,-46.05,19.4,4.98851
fare,2,PF,1584228419,74,-16.7,-151.02,83.24600000000005,14.38391
grindavik,75,IS,1584228421,79,63.84,-22.43,26.6,10.2902
safford,1,US,1584228423,28,32.83,-109.71,69.8,10.2902
campbell river,5,CA,1584228425,19,50.02,-125.24,41.0,9.1717
tinskoy,47,RU,1584228427,82,56.15,96.92,29.048000000000023,9.52962
sandy bay,40,AU,1584228429,67,-42.91,147.35,62.00600000000003,5.8162
koumac,100,NC,1584228432,87,-20.57,164.28,78.26000000000008,29.84158
kesinga,50,IN,1584228434,67,20.2,83.23,72.10400000000006,3.95949
tura,100,IN,1584228436,77,25.52,90.22,65.37200000000004,5.301690000000001
ossora,92,RU,1584228438,76,59.24,163.07,22.58600000000007,4.474
san cristobal,40,VE,1584228254,62,7.77,-72.22,84.2,5.8162
moerai,68,PF,1584228443,68,-22.43,-151.33,79.75400000000005,0.82769
krivodanovka,90,RU,1584228445,80,55.09,82.66,35.6,11.185
marzuq,42,YE,1584228447,62,14.4,46.47,64.50800000000001,5.32406
dingle,23,PH,1584228449,76,11.0,122.67,77.43200000000002,7.89661
pomichna,0,UA,1584228451,58,48.24,31.42,33.71000000000008,5.54776
nsoko,18,SZ,1584228453,97,-27.03,31.95,68.37800000000007,2.10278
bridlington,97,GB,1584228458,87,54.08,-0.19,50.0,9.1717
aransas pass,90,US,1584228460,88,27.91,-97.15,78.00800000000001,13.8694
isangel,75,VU,1584228462,74,-19.55,169.27,87.8,11.4087
ahipara,0,NZ,1584228464,68,-35.17,173.17,66.86600000000001,8.56771
porto walter,100,BR,1584228466,79,-8.27,-72.74,79.57400000000001,2.5278099999999997
prado,82,BR,1584228468,79,-17.34,-39.22,80.58200000000002,15.36819
umm kaddadah,91,SD,1584228471,19,13.6,26.69,67.47800000000007,12.392980000000001
ngama,0,TD,1584228473,12,11.78,17.17,70.46600000000001,10.021760000000002
kommunisticheskiy,33,RU,1584228475,90,61.68,64.48,28.27400000000001,8.65719
sao filipe,14,CV,1584228477,56,14.9,-24.5,74.03000000000004,16.553800000000003
cobija,75,BO,1584228479,66,-11.03,-68.77,89.6,3.3555
ucluelet,5,CA,1584228381,24,48.93,-125.55,46.004000000000055,9.1717
santa ines,100,BR,1584228220,96,-3.67,-45.38,75.41600000000001,2.6844
shirgaon,62,IN,1584228486,44,19.7,72.7,77.558,15.30108
gazojak,94,TM,1584228488,32,41.19,61.4,58.352000000000075,14.629980000000002
bandarbeyla,72,SO,1584228306,76,9.49,50.81,78.33200000000002,7.807130000000001
sinegorye,100,RU,1584228492,94,62.08,150.48,-9.93999999999997,3.73579
longyearbyen,90,SJ,1584228494,70,78.22,15.64,-0.39999999999994884,6.9347
jerome,40,US,1584228497,87,42.72,-114.52,51.008,13.8694
pacific grove,90,US,1584228499,62,36.62,-121.92,59.0,11.4087
nanortalik,100,GL,1584228501,73,60.14,-45.24,20.948000000000025,2.5054400000000006
borovoy,40,RU,1584228503,69,55.43,86.08,35.6,17.896
batagay,34,RU,1584228507,85,67.63,134.63,-20.271999999999935,2.59492
haimen,40,CN,1584228510,100,23.19,116.61,57.2,2.237
okha,94,RU,1584228512,88,53.57,142.95,7.970000000000063,3.26602
najran,40,SA,1584228514,31,17.49,44.13,78.8,1.83434
bac lieu,100,VN,1584228516,76,9.29,105.72,79.46600000000001,12.281130000000001
pumiao,75,CN,1584228518,59,22.75,108.48,66.2,6.711
snyder,40,US,1584228520,82,32.72,-100.92,59.0,11.4087
juneau,20,US,1584228296,56,58.3,-134.42,42.8,10.2902
hamilton,90,US,1584228246,93,39.18,-84.53,37.004000000000055,14.987900000000002
jacareacanga,100,BR,1584228527,99,-6.22,-57.75,73.72400000000002,0.69347
gandorhun,83,SL,1584228529,84,7.5,-11.83,79.808,3.55683
ewa beach,20,US,1584228531,58,21.32,-158.01,82.4,9.1717
camacha,75,PT,1584228533,63,33.08,-16.33,60.8,11.4087
port hawkesbury,90,CA,1584228536,76,45.62,-61.35,35.00600000000003,17.2249
lucapa,77,AO,1584228538,91,-8.42,20.74,67.04600000000005,1.36457
auki,99,SB,1584228540,78,-8.77,160.7,84.11000000000008,15.48004
umba,0,RU,1584228542,88,66.69,34.34,10.958000000000006,6.15175
yulara,0,AU,1584228544,26,-25.24,130.99,78.8,18.3434
sidi ali,68,DZ,1584228549,84,36.1,0.42,55.47200000000004,3.22128
klaksvik,100,FO,1584228551,69,62.23,-6.59,35.6,16.1064
beziers,20,FR,1584228553,66,43.35,3.22,48.992,6.9347
altay,14,CN,1584228555,54,47.87,88.12,19.49000000000002,8.097940000000001
saint george,20,US,1584228557,45,37.1,-113.58,62.99600000000005,17.2249
cururupu,97,BR,1584228559,98,-1.83,-44.87,74.96600000000001,1.63301
aykhal,77,RU,1584228562,92,66.0,111.5,17.6,4.474
turbat,98,PK,1584228564,36,26.0,63.04,66.2,1.65538
carnduff,99,CA,1584228566,68,49.17,-101.8,19.004000000000055,15.01027
moundsville,90,US,1584228568,96,39.92,-80.74,35.00600000000003,3.84764
hay river,75,CA,1584228570,40,60.82,-115.8,14.0,14.987900000000002
miles city,90,US,1584228572,79,46.41,-105.84,33.008,17.2249
kipini,42,KE,1584228575,82,-2.53,40.53,81.87800000000007,5.97279
ratnagiri,92,IN,1584228577,40,16.98,73.3,68.09000000000002,2.57255
kwinana,40,AU,1584228579,100,-32.25,115.77,69.99800000000002,6.9347
preobrazheniye,100,RU,1584228581,65,42.9,133.91,30.14600000000005,6.66626
kampot,20,KH,1584228583,74,10.62,104.18,80.6,5.8162
pangody,97,RU,1584228585,92,65.85,74.49,5.864000000000033,16.41958
sitka,1,US,1584228588,65,57.05,-135.33,41.0,5.8162
talnakh,75,RU,1584228590,100,69.49,88.4,30.2,17.896
lompoc,90,US,1584228592,71,34.64,-120.46,60.8,12.750900000000001
karratha,90,AU,1584228594,72,-20.74,116.85,83.49800000000002,16.374840000000003
emilio carranza,3,MX,1584228596,86,19.97,-96.61,76.1,13.17593
navlya,100,RU,1584228598,44,52.83,34.5,28.13000000000004,13.04171
coihaique,40,CL,1584228497,62,-45.58,-72.07,55.4,6.643890000000001
springbok,2,ZA,1584228603,82,-29.66,17.89,50.846000000000046,3.1318
kruisfontein,26,ZA,1584228527,85,-34.0,24.73,62.74400000000007,7.717650000000001
saint-augustin,98,CA,1584228607,82,51.23,-58.65,22.1,13.69044
san felipe,4,VE,1584228609,97,10.34,-68.74,70.62800000000007,2.25937
cordele,1,US,1584228490,39,31.96,-83.78,82.4,5.8162
dehloran,100,IR,1584228618,89,32.69,47.27,58.19000000000002,13.019340000000001
mangan,48,IN,1584228622,64,27.52,88.53,41.48600000000007,8.47823
bon accord,90,CA,1584228624,65,53.83,-113.42,6.008000000000003,11.4087
ibaiti,0,BR,1584228627,85,-23.85,-50.19,68.36000000000008,1.83434
yar-sale,80,RU,1584228631,89,66.83,70.83,-3.8199999999999577,11.99032
pasni,100,PK,1584228633,53,25.26,63.47,65.39000000000001,1.67775
springfield,90,US,1584228635,87,37.22,-93.3,44.00600000000003,11.4087
dalvik,20,IS,1584228638,77,65.97,-18.53,5.0,4.6977
petropavlovsk-kamchatskiy,0,RU,1584228416,57,53.05,158.65,23.0,6.711
tombouctou,97,ML,1584228642,7,20.0,-3.0,78.83600000000007,10.066500000000001
meulaboh,100,ID,1584228644,77,4.14,96.13,82.38200000000002,8.366380000000001
mago,23,RU,1584228646,86,53.25,140.18,5.774000000000012,3.17654
mehran,90,IR,1584228648,93,33.12,46.16,44.6,6.9347
wajima,20,JP,1584228651,74,37.4,136.9,37.4,4.6977
lianran,4,CN,1584228653,100,24.92,102.48,51.998000000000026,4.474
sibolga,54,ID,1584228655,93,1.74,98.78,71.76200000000006,3.84764
kalemie,99,CD,1584228657,94,-5.95,29.19,65.46200000000006,1.16324
santa rosa,40,PH,1584228661,74,14.31,121.11,80.99600000000005,3.3555
sawang daen din,78,TH,1584228666,64,17.48,103.46,75.75800000000001,6.688630000000001
sonoita,2,MX,1584228668,49,31.85,-112.83,68.0,11.833730000000001
palasa,46,IN,1584228670,72,18.77,84.42,70.23200000000001,4.74244
boddam,90,GB,1584228672,87,57.47,-1.78,44.6,8.0532
champerico,75,GT,1584228674,66,14.3,-91.92,86.0,4.6977
